common_name,scientific_name,element_code
Desert Dace,Eremichthys acros,AFCJB10010
Slender Chub,Erimystax cahni,AFCJB50010
Bluemask Darter,Etheostoma akatulo,AFCQC02XD0
Slackwater Darter,Etheostoma boschungi,AFCQC02080
Vermilion Darter,Etheostoma chermocki,AFCQC02A30
Relict Darter,Etheostoma chienense,AFCQC02B00
Blue River Orangebelly Darter,Etheostoma cyanorum,AFCQC02H10
Etowah Darter,Etheostoma etowahae,AFCQC02A70
Fountain Darter,Etheostoma fonticola,AFCQC02260
Barrens Darter,Etheostoma forbesi,AFCQC02B30
Tuxedo Darter,Etheostoma lemniscatum,AFCQC02F20
Marbled Darter,Etheostoma marmorpinnum,AFCQC02F10
Yellowcheek Darter,Etheostoma moorei,AFCQC02460
Buck Darter,Etheostoma nebra,AFCQC02G40
Watercress Darter,Etheostoma nuchale,AFCQC02500
Duskytail Darter,Etheostoma percnurum,AFCQC02F50
Waccamaw Darter,Etheostoma perlongum,AFCQC02580
Rush Darter,Etheostoma phytophilum,AFCQC02D50
Egg-mimic Darter,Etheostoma pseudovulatum,AFCQC02A60
Bayou Darter,Etheostoma rubrum,AFCQC02630
Citico Darter,Etheostoma sitikuense,AFCQC02F30
Striated Darter,Etheostoma striatulum,AFCQC02750
Cumberland Darter,Etheostoma susanae,AFCQC02D40
Trispot Darter,Etheostoma trisella,AFCQC02810
Boulder Darter,Etheostoma wapiti,AFCQC02A20
Barrens Topminnow,Fundulus julisia,AFCNB04240
Waccamaw Killifish,Fundulus waccamensis,AFCNB04200
Big Bend Gambusia,Gambusia gaigei,AFCNC02030
Clear Creek Gambusia,Gambusia heterochir,AFCNC02060
Spotfin Gambusia,Gambusia krumholzi,AFCNC02130
Humpback Chub,Gila cypha,AFCJB13080
Bonytail,Gila elegans,AFCJB13100
Chihuahua Chub,Gila nigrescens,AFCJB13110
Yaqui Chub,Gila purpurea,AFCJB13140
Virgin River Chub,Gila seminuda,AFCJB13170
Northern Roach,Hesperoleucus mitrulus,AFCJB19027
Gualala Roach,Hesperoleucus parvipinnis,AFCJB19025
Rio Grande Silvery Minnow,Hybognathus amarus,AFCJB16070
Delta Smelt,Hypomesus transpacificus,AFCHB01040
Kern Brook Lamprey,Lampetra hubbsi,AFBAA02040
White River Spinedace,Lepidomeda albivallis,AFCJB20010
Little Colorado Spinedace,Lepidomeda vittata,AFCJB20040
Peppered Chub,Macrhybopsis tetranema,AFCJB53070
Waccamaw Silverside,Menidia extensa,AFCND02020
Moapa Dace,Moapa coriacea,AFCJB23010
Copper Redhorse,Moxostoma hubbsi,AFCJC10090
Robust Redhorse,Moxostoma robustum,AFCJC10150
Palezone Shiner,Notropis albizonatus,AFCJB28A90
Cape Fear Shiner,Notropis mekistocholas,AFCJB28660
Bluntnose Shiner,Notropis simus,AFCJB28890
Smoky Madtom,Noturus baileyi,AFCKA02020
Chucky Madtom,Noturus crypticus,AFCKA02270
Yellowfin Madtom,Noturus flavipinnis,AFCKA02060
Pygmy Madtom,Noturus stanauli,AFCKA02210
Caddo Madtom,Noturus taylori,AFCKA02230
Amber Darter,Percina antesella,AFCQC04010
Pearl Darter,Percina aurora,AFCQC04360
Chesapeake Logperch,Percina bimaculata,AFCQC04460
Conasauga Logperch,Percina jenkinsi,AFCQC04320
Bridled Darter,Percina kusha,AFCQC04530
Roanoke Logperch,Percina rex,AFCQC04240
Bankhead Darter,Percina sipsi,AFCQC04390
Woundfin,Plagopterus argentissimus,AFCJB33010
Bear Lake Whitefish,Prosopium abyssicola,AFCHA03010
Colorado Pikeminnow,Ptychocheilus lucius,AFCJB35020
Widemouth Blindcat,Satan eurystomus,AFCKA04010
Alabama Sturgeon,Scaphirhynchus suttkusi,AFCAA02030
Borax Lake Chub,Siphateles boraxobius,AFCJB13040
Alabama Cavefish,Speoplatyrhinus poulsoni,AFCLA03010
Toothless Blindcat,Trogloglanis pattersoni,AFCKA05010
Razorback Sucker,Xyrauchen texanus,AFCJC11010
Texas Silverside,Menidia clarkhubbsi,AFCND02060
Texas Pipefish,Syngnathus texanus,AFCPB01020
Totoaba,Totoaba macdonaldi,AFCQH17010
Cumberland Elktoe,Alasmidonta atropurpurea,IMBIV02020
Dwarf Wedgemussel,Alasmidonta heterodon,IMBIV02030
Appalachian Elktoe,Alasmidonta raveneliana,IMBIV02060
Southern Elktoe,Alasmidonta triangulata,IMBIV02080
Fat Threeridge,Amblema neislerii,IMBIV03010
Cumberland Papershell,Anodontoides denigrata,IMBIV05030
Ouachita Rock Pocketbook,Arcidens wheeleri,IMBIV07010
Tallapoosa Orb,Cyclonaias archeri,IMBIV39021
Texas Pimpleback,Cyclonaias petrina,IMBIV39230
Fanshell,Cyprogenia stegaria,IMBIV10020
Dromedary Pearlymussel,Dromus dromas,IMBIV12010
Chipola Slabshell,Elliptio chipolaensis,IMBIV14310
Brother Spike,Elliptio fraterna,IMBIV14140
St. Johns Elephantear,Elliptio monroensis,IMBIV14390
Winged Spike,Elliptio nigella,IMBIV14210
Altamaha Spinymussel,Elliptio spinosa,IMBIV14260
Duck River Dartersnapper,Epioblasma ahlstedti,IMBIV16230
Golden Riffleshell,Epioblasma aureola,IMBIV16064
Cumberlandian Combshell,Epioblasma brevidens,IMBIV16030
Oyster Mussel,Epioblasma capsaeformis,IMBIV16040
Curtis Pearlymussel,Epioblasma curtisii,IMBIV16061
Catspaw,Epioblasma obliquata,IMBIV16111
Southern Combshell,Epioblasma penita,IMBIV16130
White Catspaw,Epioblasma perobliqua,IMBIV16112
Northern Riffleshell,Epioblasma rangiana,IMBIV16184
Tan Riffleshell,Epioblasma walkeri,IMBIV16062
Shiny Pigtoe,Fusconaia cor,IMBIV17040
Finerayed Pigtoe,Fusconaia cuneolus,IMBIV17050
Narrow Pigtoe,Fusconaia escambia,IMBIV17150
Atlantic Pigtoe,Fusconaia masoni,IMBIV40050
Cracking Pearlymussel,Hemistena lata,IMBIV20010
Pink Mucket,Lampsilis abrupta,IMBIV21110
Guadalupe Fatmucket,Lampsilis bergmanni,IMBIV21380
Texas Fatmucket,Lampsilis bracteata,IMBIV21370
Higgins Eye,Lampsilis higginsii,IMBIV21100
Neosho Mucket,Lampsilis rafinesqueana,IMBIV21170
Alabama Lampmussel,Lampsilis virescens,IMBIV21260
Carolina Heelsplitter,Lasmigona decorata,IMBIV22040
Birdwing Pearlymussel,Lemiox rimosus,IMBIV23010
Louisiana Pearlshell,Margaritifera hembeli,IMBIV27010
Alabama Pearlshell,Margaritifera marrianae,IMBIV27040
Coosa Moccasinshell,Medionidus parvulus,IMBIV28040
Ochlockonee Moccasinshell,Medionidus simpsonianus,IMBIV28070
Suwannee Moccasinshell,Medionidus walkeri,IMBIV28060
Ring Pink,Obovaria retusa,IMBIV31030
James Spinymussel,Parvaspina collina,IMBIV35080
Tar River Spinymussel,Parvaspina steinstansana,IMBIV14270
Littlewing Pearlymussel,Pegias fabula,IMBIV32010
White Wartyback,Plethobasus cicatricosus,IMBIV34010
Orangefoot Pimpleback,Plethobasus cooperianus,IMBIV34020
Canoe Creek Clubshell,Pleurobema athearni,IMBIV35370
Clubshell,Pleurobema clava,IMBIV35060
Southern Pigtoe,Pleurobema georgianum,IMBIV35140
Georgia Pigtoe,Pleurobema hanleyianum,IMBIV35160
Cherokee Pigtoe,Pleurobema hartmanianum,IMBIV35380
Ovate Clubshell,Pleurobema perovatum,IMBIV35230
Rough Pigtoe,Pleurobema plenum,IMBIV35240
Louisiana Pigtoe,Pleurobema riddellii,IMBIV35270
Warrior Pigtoe,Pleurobema rubellum,IMBIV35280
Coosa Pigtoe,Pleurobema stabile,IMBIV35390
Heavy Pigtoe,Pleurobema taitianum,IMBIV35300
Cumberland Pigtoe,Pleuronaia gibber,IMBIV35150
Texas Hornshell,Popenaias popeii,IMBIV36010
Inflated Heelsplitter,Potamilus inflatus,IMBIV37040
Scaleshell,Potamilus leptodon,IMBIV24020
Salina Mucket,Potamilus metnecktayi,IMBIV37090
Rayed Kidneyshell,Ptychobranchus foremanianus,IMBIV38060
Triangular Kidneyshell,Ptychobranchus greenii,IMBIV38020
Southern Kidneyshell,Ptychobranchus jonesi,IMBIV38030
Winged Mapleleaf,Quadrula fragosa,IMBIV39050
Round Ebonyshell,Reginaia rotulata,IMBIV31040
Cumberland Monkeyface,Theliderma intermedia,IMBIV39070
Appalachian Monkeyface,Theliderma sparsa,IMBIV39150
Southern Purple Lilliput,Toxolasma corvunculus,IMBIV43010
Pale Lilliput,Toxolasma cylindrellus,IMBIV43020
Mexican Fawnsfoot,Truncilla cognata,IMBIV45010
Texas Fawnsfoot,Truncilla macrodon,IMBIV45030
Tennessee Bean,Venustaconcha trabalis,IMBIVA4030
Coosa Creekshell,Villosa umbrans,IMBIV47152
a freshwater snail,Amnicola clarki,IMGASF4030
Foushee Cavesnail,Amnicola cora,IMGASF4040
a freshwater snail,Amnicola decisus,IMGASF4060
Stygian Cavesnail,Amnicola stygius,IMGASF4110
Tumbling Creek Cavesnail,Antrobia culveri,IMGASF5010
Manitou Cavesnail,Antrorbis breweri,IMGASV3010
Blue Spring Hydrobe Snail,Aphaostracon asthenes,IMGASF6010
Freemouth Hydrobe Snail,Aphaostracon chalarogyrus,IMGASF6020
Wekiwa Hydrobe Snail,Aphaostracon monas,IMGASF6040
Dense Hydrobe Snail,Aphaostracon pycnus,IMGASF6060
Slough Hydrobe,Aphaostracon rhadinum,IMGASF6070
Clifton Spring Hydrobe Snail,Aphaostracon theiocrenetum,IMGASF6080
Fenney Spring Hydrobe Snail,Aphaostracon xynoelictum,IMGASF6090
Badwater Snail,Assiminea infima,IMGASR2020
Pecos Assiminea,Assiminea pecos,IMGASR2030
Anthony's Riversnail,Athearnia anthonyi,IMGASK5260
Balcones Ghostsnail,Balconorbis uvaldensis,IMGAS0A010
Slender Campeloma,Campeloma decampi,IMGASE6030
Cahaba Pebblesnail,Clappia cahabensis,IMGASG0010
Harney Basin Duskysnail,Colligyrus depressus,IMGASF8010
Shaggy Ghostsnail,Dasyscias franzi,IMGAST1010
Mud Elimia,Elimia alabamensis,IMGASK2020
Ample Elimia,Elimia ampla,IMGASK2040
Lilyshoals Elimia,Elimia annettae,IMGASK2050
Princess Elimia,Elimia bellacrenata,IMGASK2090
Walnut Elimia,Elimia bellula,IMGASK2100
Brooch Elimia,Elimia broccata,IMGASK2940
Cockle Elimia,Elimia cochliaris,IMGASK2240
Lacey Elimia,Elimia crenatella,IMGASK2280
Pup Elimia,Elimia darwini,IMGASK3110
Slanted Elimia,Elimia inclinans,IMGASK2420
Knotty Elimia,Elimia interrupta,IMGASK2430
Nodulose Coosa River Snail,Elimia lachryma,IMGASK2770
Latticed Elimia,Elimia mihalcikae,IMGASK2920
Round-rib Elimia,Elimia nassula,IMGASK2480
Caper Elimia,Elimia olivula,IMGASK2490
Ornata Elimia,Elimia ornata,IMGASK2900
Engraved Elimia,Elimia perstriata,IMGASK2510
Compact Elimia,Elimia showalteri,IMGASK2610
Elegant Elimia,Elimia teres,IMGASK2670
Auger Elimia,Elimia teretria,IMGASK2930
Timid Elimia,Elimia timida,IMGASK2980
Mossy Elimia,Elimia troostiana,IMGASK2680
Cobble Elimia,Elimia vanuxemiana,IMGASK2700
Puzzle Elimia,Elimia varians,IMGASK2710
Steptoe Hydrobe,Eremopyrgus eganensis,IMGASG7010
Newcomb's Snail,Erinna newcombi,IMGASV6010
Alexander Siltsnail,Floridobia alexander,IMGASF9160
Crystal Siltsnail,Floridobia helicogyra,IMGASF9040
Flatwood Siltsnail,Floridobia leptospira,IMGASF9170
Ichetucknee Siltsnail,Floridobia mica,IMGASF9060
Rock Springs Siltsnail,Floridobia petrifons,IMGASF9100
Ponderous Siltsnail,Floridobia ponderosa,IMGASF9110
Green Cove Springsnail,Floridobia porterae,IMGASF9180
Seminole Siltsnail,Floridobia vanhyningi,IMGASF9120
Wekiwa Siltsnail,Floridobia wekiwae,IMGASF9130
Goose Valley Pebblesnail,Fluminicola anserinus,IMGASG3550
Pyramid Lake Pebblesnail,Fluminicola dalli,IMGASG3020
Fremont Pebblesnail,Fluminicola fremonti,IMGASG3520
Donner and Blitzen Pebblesnail,Fluminicola insolitus,IMGASG3350
Tall Pebblesnail,Fluminicola klamathensis,IMGASG3260
Lunsford Pebblesnail,Fluminicola lunsfordensis,IMGASG3530
Modoc Pebblesnail,Fluminicola modoci,IMGASG3080
Potem Creek Pebblesnail,Fluminicola potemicus,IMGASG3560
Umbilicate Pebblesnail,Fluminicola umbilicatus,IMGASG3570
Virginia Mountains Pebblesnail,Fluminicola virginius,IMGASG3360
Hidden Springsnail,Fontigens cryptica,IMGASG5020
Proserpine Cavesnail,Fontigens proserpina,IMGASG5120
Greenbrier Cavesnail,Fontigens turritella,IMGASG5070
a freshwater snail,Galba perplexa,IMGASL1150
Greenfield Ramshorn,Helisoma eucosmium,IMGASM6030
a freshwater snail,Helisoma minus,IMGASM6040
Great Basin Ramshorn,Helisoma newberryi,IMGASM6020
Storm Hydrobe,Hoyia sheldoni,IMGASH0010
Banbury Springs Limpet,Idaholanx fresti,IMGASL7050
Spiny Riversnail,Io fluvialis,IMGASK3010
Robust Tryonia,Ipnobius robustus,IMGASJ7200
Bulb Juga,Juga bulbosa,IMGASK4020
Chace Juga,Juga chacei,IMGASK4180
Barren Juga,Juga hemphilli,IMGASK4030
Smooth Juga,Juga interioris,IMGASK4040
Oasis Juga,Juga laurae,IMGASK4050
a freshwater snail,Juga newberryi,IMGASK4210
Scalloped Juga,Juga occata,IMGASK4070
Tularosa Juturnia,Juturnia tularosae,IMGASJ7250
Scale Lanx,Lanx klamathensis,IMGASL7020
Arkansas Mudalia,Leptoxis arkansensis,IMGASK5150
Oblong Rocksnail,Leptoxis compacta,IMGASK5030
Interrupted Rocksnail,Leptoxis foremani,IMGASK5230
Spotted Rocksnail,Leptoxis picta,IMGASK5080
Plicate Rocksnail,Leptoxis plicata,IMGASK5090
Painted Rocksnail,Leptoxis taeniata,IMGASK5110
Umbilicate Rocksnail,Leptoxis umbilicata,IMGASK5120
Flat Pebblesnail,Lepyrium showalteri,IMGASH2010
Cylindrical Lioplax,Lioplax cyclostomaformis,IMGASE8010
Knobby Rocksnail,Lithasia curta,IMGASK6020
Rugose Rocksnail,Lithasia jayana,IMGASK6060
Sharp-tongued Rocksnail,Lithasia spicula,IMGASK6110
