common_name,scientific_name,element_code
Jackson County Cave Amphipod,Crangonyx manubrium,ICMAL06490
a freshwater amphipod,Crangonyx ohioensis,ICMAL06390
Florida Big Bend Cave Amphipod,Crangonyx parhobbsi,ICMAL06500
St. Marks Ephemeral Pool Amphipod 2,Crangonyx pseudoephemerus,ICMAL06270
a freshwater amphipod,Crangonyx specus,ICMAL06260
Sulphurous Cave Amphipod,Crangonyx sulphurium,ICMAL06460
Bousfield's Amphipod,Gammarus bousfieldi,ICMAL10010
an amphipod,Gammarus cohabitus,ICMAL10120
Diminutive Amphipod,Gammarus hyalelloides,ICMAL10050
Pecos Amphipod,Gammarus pecos,ICMAL10060
a cave obligate amphipod,Holsingerius samacos,ICMAL94010
a cave obligate amphipod,Holsingerius smaragdinus,ICMAL94020
Montezuma Well Amphipod,Hyalella montezuma,ICMAL29050
Texas Spring Amphipod,Hyalella muerta,ICMAL29030
Death Valley Amphipod,Hyalella sandra,ICMAL29040
Clear Creek Amphipod,Hyalella texana,ICMAL29010
an amphipod,Liagoceradocus lonomaka,ICMALB0010
Ruffo's Cave Amphipod,Paramexiweckelia ruffoi,ICMAL96010
an amphipod,Paramoera carlottensis,ICMAL82010
an amphipod,Paramoera lokowai,ICMAL82040
an amphipod,Paramoera paakai,ICMAL82030
an amphipod,Paramoera rua,ICMAL82020
an amphipod,Ramellogammarus vancouverensis,ICMAL81010
an amphipod,Rotomelita ana,ICMALB1020
an amphipod,Rotomelita lokoa,ICMALB1010
a cave obligate amphipod,Seborgia hershleri,ICMAL98010
Kauai Cave Amphipod,Spelaeorchestia koloana,ICMAL30010
a cave obligate amphipod,Stygobromus ackerlyi,ICMAL05850
Friendly Cave Amphipod,Stygobromus amicus,ICMAL05F10
Arizona Cave Amphipod,Stygobromus arizonensis,ICMAL05360
Blinn's Amphipod,Stygobromus blinni,ICMAL05D20
Boulton's Amphipod,Stygobromus boultoni,ICMAL05C60
Bowman's Cave Amphipod,Stygobromus bowmani,ICMAL05400
Cecil Groundwater Amphipod,Stygobromus caecilius,ICMAL05F20
Castleguard Cave Stygobromid,Stygobromus canadensis,ICMAL05A90
Carolina Seep Scud,Stygobromus carolinensis,ICMAL05680
Barr's Amphipod,Stygobromus cherylae,ICMAL05D60
Colorado Stygobromid,Stygobromus coloradensis,ICMAL05890
Cooper's Cave Amphipod,Stygobromus cooperi,ICMAL05420
Cowan's Amphipod,Stygobromus cowani,ICMAL05D70
Culver's Cave Amphipod,Stygobromus culveri,ICMAL05670
Curro's Amphipod,Stygobromus curroae,ICMAL05E60
Cascade Cave Amphipod,Stygobromus dejectus,ICMAL05430
Dougherty Plain Cave Amphipod,Stygobromus doughertyensis,ICMAL05F50
a cave obligate amphipod,Stygobromus duplus,ICMAL05C70
Elevated Spring Amphipod,Stygobromus elatus,ICMAL05260
a cave obligate amphipod,Stygobromus elliotti,ICMAL05910
Ephemeral Cave Amphipod,Stygobromus ephemerus,ICMAL05210
a cave obligate amphipod,Stygobromus fecundus,ICMAL05820
Feller's Groundwater Amphipod,Stygobromus felleri,ICMAL05F30
Florida Panhandle Cave Amphipod,Stygobromus floridanus,ICMAL05XB0
Spring Amphipod,Stygobromus fontinalis,ICMAL05C20
Gallaway's Amphipod,Stygobromus gallawayae,ICMAL05E10
Glacier Amphipod,Stygobromus glacialis,ICMAL05E50
Grady's Cave Amphipod,Stygobromus gradyi,ICMAL05460
a cave obligate amphipod,Stygobromus grandis,ICMAL05930
Devil's Sinkhole Amphipod,Stygobromus hadenoecus,ICMAL05350
Hara's Cave Amphipod,Stygobromus harai,ICMAL05470
Hay's Spring Amphipod,Stygobromus hayi,ICMAL05630
Pickle Springs Amphipod,Stygobromus heteropodus,ICMAL05480
a cave obligate amphipod,Stygobromus holsingeri,ICMAL05940
Hupp's Hill Cave Amphipod,Stygobromus hubbardi,ICMAL05750
Malheur Cave Amphipod,Stygobromus hubbsi,ICMAL05490
Hypoheic Amphipod,Stygobromus hyporheicus,ICMAL05D80
Idaho Amphipod,Stygobromus idahoensis,ICMAL05E40
Imperial Amphipod,Stygobromus imperialis,ICMAL05E30
a cave obligate amphipod,Stygobromus inexpectatus,ICMAL05960
New Castle Murder Hole Amphipod,Stygobromus interitus,ICMAL05090
Jemez Mountains Amphipod,Stygobromus jemezensis,ICMAL05C30
Lake Tahoe  Amphipod,Stygobromus lacicolus,ICMAL05970
Lane County Amphipod,Stygobromus lanensis,ICMAL05D40
Lee County Cave Amphipod,Stygobromus leensis,ICMAL05110
Border Cave Amphipod,Stygobromus limbus,ICMAL05C10
Rubious Cave Amphipod,Stygobromus lucifugus,ICMAL05520
Mackenzie's Cave Amphipod,Stygobromus mackenziei,ICMAL05530
Round Hill Cave Amphipod,Stygobromus mausi,ICMAL05E90
a cave obligate amphipod,Stygobromus montanensis,ICMAL05990
Mountain Cave Amphipod,Stygobromus montanus,ICMAL05270
Myers' Amphipod,Stygobromus myersae,ICMAL05D50
Secret Cave Amphipod,Stygobromus mysticus,ICMAL05A00
Pocahontas Cave Amphipod,Stygobromus nanus,ICMAL05660
Pittsylvania Well Amphipod,Stygobromus obrutus,ICMAL05140
a cave obligate amphipod,Stygobromus obscurus,ICMAL05A10
Oregon Cave Amphipod,Stygobromus oregonensis,ICMAL05550
Prettyboy Groundwater Amphipod,Stygobromus paxillus,ICMAL05F40
Peck's Cave Amphipod,Stygobromus pecki,ICMAL05570
Northern Virginia Well Amphipod,Stygobromus phreaticus,ICMAL05250
Luray Caverns Amphipod,Stygobromus pseudospinosus,ICMAL05150
a cave obligate amphipod,Stygobromus puteanus,ICMAL05A30
Quatsino Cave Amphipod,Stygobromus quatsinensis,ICMAL05810
Patton Cave Stygobromid,Stygobromus redactus,ICMAL05650
Reddell Stygobromid,Stygobromus reddelli,ICMAL05590
Rudolph's Amphipod,Stygobromus rudolphi,ICMAL05E20
Williamette National Forest Amphipod,Stygobromus saltuaris,ICMAL05B70
Cordilleran Stygobromid,Stygobromus secundus,ICMAL05B10
Capital Area Groundwater Amphipod,Stygobromus sextarius,ICMAL05830
Sheldon Stygobromid,Stygobromus sheldoni,ICMAL05A40
Sierra Amphipod,Stygobromus sierrensis,ICMAL05A50
Simple Amphipod,Stygobromus simplex,ICMAL05E70
Gregory Cave Stygobromid,Stygobromus sparsus,ICMAL05A60
Madison Cave Stygobromid,Stygobromus stegerorum,ICMAL05160
Stellmack Cave Stygobromid,Stygobromus stellmacki,ICMAL05320
Lake Tahoe Stygobromid,Stygobromus tahoensis,ICMAL05A70
Trinity County Amphipod,Stygobromus trinus,ICMAL05C50
Worn Stygobromid,Stygobromus tritus,ICMAL05A80
Utah Amphipod,Stygobromus utahensis,ICMAL05C80
Wahkeena Creek Amphipod,Stygobromus wahkeenensis,ICMAL05D30
Ward's Amphipod,Stygobromus wardi,ICMAL05E80
Wenger Cave Stygobromid,Stygobromus wengerorum,ICMAL05620
a cave obligate amphipod,Stygonyx courtneyi,ICMAL92010
Tennessee Bottlebrush Crayfish,Barbicambarus simmonsi,ICMAL49020
Cypress Crayfish,Cambarellus blacki,ICMAL09050
Twisted Dwarf Crayfish,Cambarellus rotatus,ICMAL09090
Benton County Cave Crayfish,Cambarus aculabrum,ICMAL07840
Slenderclaw Crayfish,Cambarus cracens,ICMAL07430
Conasauga Blue Burrower,Cambarus cymatilis,ICMAL07450
Dougherty Burrowing Crayfish,Cambarus doughertyensis,ICMAL07980
Grandfather Mountain Crayfish,Cambarus eeseeohensis,ICMAL07A20
Piedmont Blue Burrower,Cambarus harti,ICMAL07560
Lacon Exit Cave Crayfish,Cambarus laconensis,ICMAL07A80
Greenbrier Cave Crayfish,Cambarus nerterius,ICMAL07250
Obey Crayfish,Cambarus obeyensis,ICMAL07200
Phantom Cave Crayfish,Cambarus pecki,ICMAL14320
Sweet Home Alabama Cave Crayfish,Cambarus speleocoopi,ICMAL07A70
Delaware County Cave Crayfish,Cambarus subterraneus,ICMAL07910
Oklahoma Cave Crayfish,Cambarus tartarus,ICMAL07150
Tuckasegee Stream Crayfish,Cambarus tuckasegee,ICMAL07970
White Spring Cave Crayfish,Cambarus veitchorum,ICMAL07310
Guyandotte River Crayfish,Cambarus veteranus,ICMAL07B40
Hell Creek Cave Crayfish,Cambarus zophonastes,ICMAL07090
Camp Shelby Burrowing Crayfish,Creaserinus gordoni,ICMAL15080
Hatchie Burrowing Crayfish,Creaserinus hortoni,ICMAL15140
Broad River Burrowing Crayfish,Distocambarus devexus,ICMAL50030
Saluda Burrowing Crayfish,Distocambarus hunteri,ICMAL50050
Newberry Burrowing Crayfish,Distocambarus youngineri,ICMAL50040
Slenderwrist Burrowing Crayfish,Fallicambarus petilicarpus,ICMAL15180
Screaming Eagle Crayfish,Faxonius bellator,ICMAL11950
Crittenden Crayfish,Faxonius bisectus,ICMAL11020
Flint River Crayfish,Faxonius cooperi,ICMAL11370
Louisville Crayfish,Faxonius jeffersoni,ICMAL11040
Leopard Crayfish,Faxonius pardalotus,ICMAL12040
Nashville Crayfish,Faxonius shoupi,ICMAL11160
Caney Mountain Cave Crayfish,Faxonius stygocaneyi,ICMAL11850
Oktibbeha Riverlet Crayfish,Hobbseus orconectoides,ICMAL13030
Choctaw Riverlet Crayfish,Hobbseus valleculus,ICMAL13040
Banded Mudbug,Lacunicambarus freudensteini,ICMAL07D30
Shelta Cave Crayfish,Orconectes sheltae,ICMAL11740
Shasta Crayfish,Pacifastacus fortis,ICMAL31010
Orlando Cave Crayfish,Procambarus acherontis,ICMAL14120
Silver Glen Springs Cave Crayfish,Procambarus attiguus,ICMAL14F70
Brazoria Crayfish,Procambarus brazoriensis,ICMAL14410
Mississippi Flatwoods Crayfish,Procambarus cometes,ICMAL14030
Bigcheek Cave Crayfish,Procambarus delicatus,ICMAL14330
Panama City Crayfish,Procambarus econfinae,ICMAL14490
Santa Fe Cave Crayfish,Procambarus erythrops,ICMAL14130
Orange Lake Cave Crayfish,Procambarus franzi,ICMAL14140
Celestial Crayfish,Procambarus holifieldi,ICMAL14G30
Big Blue Spring Cave Crayfish,Procambarus horsti,ICMAL14150
Coastal Lowland Cave Crayfish,Procambarus leitheuseri,ICMAL14240
Light-fleeing Cave Crayfish,Procambarus lucifugus,ICMAL14160
Caddo Chimney Crawfish,Procambarus machardyi,ICMAL14A80
Miami Cave Crayfish,Procambarus milleri,ICMAL14170
Putnum County Cave Crayfish,Procambarus morrisi,ICMAL14F50
Blackbelted Crayfish,Procambarus nigrocinctus,ICMAL14F20
Nueces Crayfish,Procambarus nueces,ICMAL14F80
Woodville Karst Cave Crayfish,Procambarus orcinus,ICMAL14180
Bearded Red Crayfish,Procambarus pogum,ICMAL14100
Combclaw Crayfish,Procambarus rathbunae,ICMAL14900
Irons Fork Burrowing Crayfish,Procambarus reimeri,ICMAL14110
Parkhill Prairie Crayfish,Procambarus steigmani,ICMAL14F60
Bastrop Crayfish,Procambarus texanus,ICMAL14990
Florida Longbeak Crayfish,Procambarus youngi,ICMAL14A60
a fairy shrimp,Branchinecta constricta,ICBRA03240
Kaibab Fairy Shrimp,Branchinecta kaibabensis,ICBRA03160
Longhorn Fairy Shrimp,Branchinecta longiantenna,ICBRA03020
Muddy Fairy Shrimp,Branchinecta lutulenta,ICBRA03200
Raptor Fairy Shrimp,Branchinecta raptor,ICBRA03210
a fairy shrimp,Branchinecta serrata,ICBRA02350
Acacia Fairy Shrimp,Dendrocephalus acacioidea,ICBRA14030
Alachua Fairy Shrimp,Dendrocephalus alachua,ICBRA14020
a fairy shrimp,Eubranchipus stegosus,ICBRA01110
Agassiz Clam Shrimp,Eulimnadia agassizii,ICBRA05020
Star Cyst Clam Shrimp,Eulimnadia astraova,ICBRA04070
a clam shrimp,Eulimnadia graniticola,ICBRA04120
Santa Rosa Plateau Fairy Shrimp,Linderiella santarosae,ICBRA06020
Pointytop Finger Clam Shrimp,Paralimnetis texana,ICBRA22010
Beringian Fairy Shrimp,Polyartemiella judayi,ICBRA17020
Crenatethumb Fairy Shrimp,Streptocephalus mattoxi,ICBRA07070
Spinythumb Fairy Shrimp,Streptocephalus moorei,ICBRA07080
Bowman's Fairy Shrimp,Streptocephalus thomasbowmani,ICBRA07120
Riverside Fairy Shrimp,Streptocephalus woottoni,ICBRA07010
a cave obligate isopod,Amerigoniscus centralis,ICMAL02030
a cave obligate isopod,Amerigoniscus curvatus,ICMAL02040
a cave obligate isopod,Amerigoniscus georgiensis,ICMAL02050
a cave obligate isopod,Amerigoniscus gipsocolus,ICMAL02060
Powell Valley Terrestrial Cave Isopod,Amerigoniscus henroti,ICMAL02010
Malheur Isopod,Amerigoniscus malheurensis,ICMAL02020
a cave obligate isopod,Amerigoniscus nicholasi,ICMAL02070
a cave obligate isopod,Amerigoniscus proximus,ICMAL02090
Sequoia Cave Isopod,Bowmanasellus sequoiae,ICMAL01210
a cave obligate isopod,Caecidotea adenta,ICMAL01500
Allegheny Spring Isopod,Caecidotea alleghenyensis,ICMAL01430
Clifton Cave Isopod,Caecidotea barri,ICMAL01160
Natural Bridge Cave Isopod,Caecidotea bowmani,ICMAL01450
a cave obligate isopod,Caecidotea circulus,ICMAL01590
Cumberland Gap Cave Isopod,Caecidotea cumberlandensis,ICMAL01460
a cave obligate isopod,Caecidotea cyrtorhynchus,ICMAL01600
Fern Cave Isopod,Caecidotea filicispeluncae,ICMAL01280
Florida Cave Isopod,Caecidotea hobbsi,ICMAL01110
Kindt's Cave Isopod,Caecidotea insula,ICMAL01480
a cave obligate isopod,Caecidotea lesliei,ICMAL01330
a cave obligate isopod,Caecidotea metcalfi,ICMAL01630
Nickajack Cave Isopod,Caecidotea nickajackensis,ICMAL01180
a cave obligate isopod,Caecidotea paurotrigona,ICMAL01650
a cave obligate isopod,Caecidotea scypha,ICMAL01680
Serrated Cave Isopod,Caecidotea serrata,ICMAL01690
a cave obligate isopod,Caecidotea simonini,ICMAL01260
a cave obligate isopod,Caecidotea sinuncus,ICMAL01270
a cave obligate isopod,Caecidotea tridentata,ICMAL01380
an isopod,Calasellus longus,ICMAL34020
an isopod,Gnorimosphaeroma insulare,ICMAL39020
an isopod,Gnorimosphaeroma noblei,ICMAL39030
a woodlouse,Hawaiioscia micropthalma,ICMALC0020
a woodlouse,Hawaiioscia paeninsulae,ICMALC0040
a woodlouse,Hawaiioscia parvituberculata,ICMALC0010
a woodlouse,Hawaiioscia rotundata,ICMALC0030
a cave obligate isopod,Ligidium kofoidi,ICMAL78020
a cave obligate isopod,Lirceolus bisetus,ICMAL01570
Texas Troglobitic Water Slater,Lirceolus smithii,ICMALA1040
an isopod,Lirceus bidentatus,ICMAL03040
Rye Cove Isopod,Lirceus culveri,ICMAL03010
Lee County Cave Isopod,Lirceus usdagalun,ICMAL03020
Florida Cave Isopod,Mexistenasellus floridensis,ICMALA4020
Racovitza's Cave Isopod,Miktoniscus oklahomensis,ICMAL08012
Swimming Little Florida Cave Isopod,Remasellus parvus,ICMAL83010
Socorro Isopod,Thermosphaeroma thermophilum,ICMAL28010
a cyclopoid copepod,Acanthocyclops columbiensis,ICCOP04020
Lake Jackson Copepod,Aglaodiaptomus marshianus,ICCOP14030
an entocytherid ostracod,Ankylocythere tridentata,ICOST02010
Purgatory Cave Shrimp,Calathaemon holthuisi,ICMAL18040
Northern Cavefish Copepod,Cauloxenus stygius,ICCOP11010
a cave obligate shrimp,Dactylocythere arcuata,ICOST01080
Lewis' Groundwater Copepod,Diacyclops lewisi,ICCOP02070
Salisa's Groundwater Copepod,Diacyclops salisae,ICCOP02060
an anchialine pool shrimp,Halocaridina palahemo,ICMAL41010
a cave obligate shrimp,Hobbsiella moria,ICOST13010
an anchialine pool shrimp,Palaemonella burnsi,ICMAL45010
a grass shrimp,Palaemonetes texanus,ICMAL18050
Mammoth Cave Shrimp,Palaemonias ganteri,ICMAL12010
Anchialine Pool Shrimp,Procaris hawaiana,ICMAL42010
Marengo Cave Ostracod,Pseudocandona marengoensis,ICOST11020
Indiana Groundwater Copepod,Rheocyclops indiana,ICCOP12010
a cave obligate ostracod,Sagittocythere stygia,ICOST12020
California Freshwater Shrimp,Syncaris pacifica,ICMAL27010
a cave obligate shrimp,Uncinocythere pholetera,ICOST10030
a cave obligate shrimp,Uncinocythere warreni,ICOST10040
Anchialine Pool Shrimp,Vetericaris chaceorum,ICMAL43010
Cockerell's Bumble Bee,Bombus cockerelli,IIHYM24550
Franklin Bumble Bee,Bombus franklini,IIHYM24010
Variable Cuckoo Bumble Bee,Bombus variabilis,IIHYM24320
a digger bee,Anthophora linsleyi,IIHYM36380
a leafcutter bee,Megachile integrella,IIHYMA9880
a leafcutter bee,Megachile micheneri,IIHYMA9990
Blue Calamintha Bee,Osmia calaminthae,IIHYMA2550
a mason bee,Osmia illinoensis,IIHYMA2260
a mason bee,Osmia potentillae,IIHYMA21E0
a mason bee,Osmia rostrata,IIHYMA21M0
a leafcutter bee,Trachusa crassipes,IIHYM80040
San Francisco Bay Area Leafcutter Bee,Trachusa gummifera,IIHYM80010
a wool-carder bee,Anthidium platyfrons,IIHYMA3350
an andrenid bee,Andrena subapasta,IIHYM35210
a mining bee,Andrena winnemuccana,IIHYM35500
Giant Scrub Plasterer Bee,Caupolicana floridana,IIHYM97020
Tough Buckthorn Bee,Colletes francesae,IIHYM96330
a cellophane bee,Colletes longifacies,IIHYM96090
a cellophane bee,Colletes titusensis,IIHYM96100
Peninsula Solitary Bee,Dufourea stagei,IIHYM22010
Harmonius Halictid Bee,Halictus harmonius,IIHYM75010
Gulf Coast Solitary Bee,Hesperapis oraria,IIHYM85010
Hawaiian Yellow-faced Bee,Hylaeus kuakea,IIHYM95140
a yellow-masked bee,Hylaeus volusiensis,IIHYM95110
Channel Island Halictid Bee,Lasioglossum channelense,IIHYM76010
a sweat bee,Lasioglossum flaveriae,IIHYM76020
Sable Island Sweat Bee,Lasioglossum sablense,IIHYM76150
Tahiti Beach Sweat Bee,Lasioglossum tahitensis,IIHYM76050
California Cuckoo Bee,Paranomada californica,IIHYM82010
Algodones Perdita,Perdita algodones,IIHYM01130
Dolan Falls Perdita,Perdita dolanensis,IIHYM01120
Imperial Perdita,Perdita frontalis,IIHYM01140
a mining bee,Perdita graenicheri,IIHYM01550
a miner bee,Perdita mitchelli,IIHYM01580
an andrenid bee,Perdita scitula,IIHYM01030
a miner bee,Perdita townesi,IIHYM01570
Wasbauer's Protodufourea Bee,Protodufourea wasbaueri,IIHYM77010
Zavortink's Protodufourea Bee,Protodufourea zavortinki,IIHYM77020
Roberts' Rhopalolemma Bee,Rhopalolemma robertsi,IIHYM83010
Antioch Sphecodogastra Bee,Sphecodogastra antiochensis,IIHYM78010
Large Monarda Cuckoo Bee,Triepeolus monardae,IIHYM88150
Punctate Central Florida Cuckoo Bee,Triepeolus rugosus,IIHYM99010
a cave obligate beetle,Atelothrus aaae,IICOLH8020
a cave obligate beetle,Atelothrus howarthi,IICOLH8030
Delta Green Ground Beetle,Elaphrus viridis,IICOL36010
Spring Mountains Nebria,Nebria baumanni,IICOL6L360
South Forks Ground Beetle,Nebria darlingtoni,IICOL6L100
Echo Cave Beetle,Pseudanophthalmus acherontis,IICOL4E160
West Wills Valley Cave Beetle,Pseudanophthalmus assimilis,IICOL4E170
Bold Cave Beetle,Pseudanophthalmus audax,IICOL4E900
Avernus Cave Beetle,Pseudanophthalmus avernus,IICOL4E180
a cave obligate ground beetle,Pseudanophthalmus barri,IICOL4EAE0
Benderman's Cave Beetle,Pseudanophthalmus bendermani,IICOL4E190
Clifton Cave Beetle,Pseudanophthalmus caecus,IICOL4EC40
Limestone Cave Beetle,Pseudanophthalmus calcareus,IICOL4E200
Catherine's Cave Beetle,Pseudanophthalmus catherinae,IICOL4E210
Lesser Adams Cave Beetle,Pseudanophthalmus catoryctos,IICOL4E950
a cave obligate ground beetle,Pseudanophthalmus cnephosus,IICOL4EB20
Coleman Cave Beetle,Pseudanophthalmus colemanensis,IICOL4EC20
Hidden Cave Beetle,Pseudanophthalmus conditus,IICOL4E960
Little Kennedy Cave Beetle,Pseudanophthalmus cordicollis,IICOL4E220
a cave obligate ground beetle,Pseudanophthalmus cumberlandus,IICOL4EB30
Deceptive Cave Beetle,Pseudanophthalmus deceptivus,IICOL4E230
a cave obligate ground beetle,Pseudanophthalmus digitus,IICOL4EB60
a cave obligate ground beetle,Pseudanophthalmus distinguens,IICOL4EBW0
New River Valley Cave Beetle,Pseudanophthalmus egberti,IICOL4E240
a cave obligate ground beetle,Pseudanophthalmus elongatus,IICOL4EB70
a cave obligate ground beetle,Pseudanophthalmus emersoni,IICOL4EA90
Engelhart's Cave Beetle,Pseudanophthalmus engelhardti,IICOL4E250
a cave obligate ground beetle,Pseudanophthalmus eremita,IICOL4EA80
Exotic Cave Beetle,Pseudanophthalmus exoticus,IICOL4EA60
a cave obligate ground beetle,Pseudanophthalmus farrelli,IICOL4EB90
Tapered Cave Beetle,Pseudanophthalmus fastigatus,IICOL4E120
Fowler's Cave Beetle,Pseudanophthalmus fowlerae,IICOL4E260
Icebox Cave Beetle,Pseudanophthalmus frigidus,IICOL4E270
Georgian Cave Beetle,Pseudanophthalmus georgiae,IICOL4E130
Round-headed Cave Beetle,Pseudanophthalmus globiceps,IICOL4E910
Clover Hollow Cave Beetle,Pseudanophthalmus gracilis,IICOL4E780
Timber Ridge Cave Beetle,Pseudanophthalmus hadenoecus,IICOL4E050
a cave obligate ground beetle,Pseudanophthalmus hesperus,IICOL4EBA0
Cumberland Gap Cave Beetle,Pseudanophthalmus hirsutus,IICOL4E280
Holsinger's Cave Beetle,Pseudanophthalmus holsingeri,IICOL4E290
Garden Cave Beetle,Pseudanophthalmus hortulanus,IICOL4E300
Hubbard's Cave Beetle,Pseudanophthalmus hubbardi,IICOL4E310
Hubricht's Cave Beetle,Pseudanophthalmus hubrichti,IICOL4E320
Stone-dwelling Cave Beetle,Pseudanophthalmus hypolithos,IICOL4E330
Illinois Cave Beetle,Pseudanophthalmus illinoisensis,IICOL4E340
Surprising Cave Beetle,Pseudanophthalmus inexpectatus,IICOL4E970
Inquirer Cave Beetle,Pseudanophthalmus inquisitor,IICOL4E350
Baker Station Cave Beetle,Pseudanophthalmus insularis,IICOL4E360
Crossroads Cave Beetle,Pseudanophthalmus intersectus,IICOL4E370
Grassy Cove Cave Beetle,Pseudanophthalmus jonesi,IICOL4E380
Kramer's Cave Beetle,Pseudanophthalmus krameri,IICOL4E390
Cave Beetle,Pseudanophthalmus lallemanti,IICOL4E010
Leona's Cave Ground Beetle,Pseudanophthalmus leonae,IICOL4EAA0
Maddens Cave Beetle,Pseudanophthalmus limicola,IICOL4E400
a cave obligate ground beetle,Pseudanophthalmus lodingi,IICOL4EAG0
Long-headed Cave Beetle,Pseudanophthalmus longiceps,IICOL4E410
a cave obligate ground beetle,Pseudanophthalmus macradyi,IICOL4EBB0
Beaver Cave Beetle,Pseudanophthalmus major,IICOL4EC50
Dry Fork Valley Cave Beetle,Pseudanophthalmus montanus,IICOL4E080
Nelson's Cave Beetle,Pseudanophthalmus nelsoni,IICOL4E420
Nickajack Cave Beetle,Pseudanophthalmus nickajackensis,IICOL4E430
Norton's Cave Beetle,Pseudanophthalmus nortoni,IICOL4E440
Western Cave Beetle,Pseudanophthalmus occidentalis,IICOL4E450
Ohio Cave Beetle,Pseudanophthalmus ohioensis,IICOL4E110
a cave obligate ground beetle,Pseudanophthalmus orthosulcatus,IICOL4E023
a cave obligate ground beetle,Pseudanophthalmus packardi,IICOL4EBD0
Pale Cave Beetle,Pseudanophthalmus pallidus,IICOL4E460
Ridgetop Cave Beetle,Pseudanophthalmus paradoxus,IICOL4E470
Hupps Hill Cave Beetle,Pseudanophthalmus parvicollis,IICOL4E480
Nobletts Cave Beetle,Pseudanophthalmus paulus,IICOL4E490
Payne's Cave Beetle,Pseudanophthalmus paynei,IICOL4E500
Petrunkevitch's Cave Beetle,Pseudanophthalmus petrunkevitchi,IICOL4E510
Greater Adams Cave Beetle,Pseudanophthalmus pholeter,IICOL4EA10
Natural Bridge Cave Beetle,Pseudanophthalmus pontis,IICOL4E520
Overlooked Cave Beetle,Pseudanophthalmus praetermissus,IICOL4E530
a cave obligate ground beetle,Pseudanophthalmus princeps,IICOL4EBF0
Tiny Cave Beetle,Pseudanophthalmus pusillus,IICOL4E550
Old Well Cave Beetle,Pseudanophthalmus puteanus,IICOL4EA30
Straley's Cave Beetle,Pseudanophthalmus quadratus,IICOL4E560
a cave obligate ground beetle,Pseudanophthalmus rittmani,IICOL4EBH0
Roger's Cave Beetle,Pseudanophthalmus rogersae,IICOL4E570
Saint Paul Cave Beetle,Pseudanophthalmus sanctipauli,IICOL4E580
Schoolhouse Cave Beetle,Pseudanophthalmus scholasticus,IICOL4E590
a cave obligate ground beetle,Pseudanophthalmus scutilus,IICOL4EBK0
Seneca Cave Beetle,Pseudanophthalmus senecae,IICOL4EC60
Sequoyah Cave Beetle,Pseudanophthalmus sequoyah,IICOL4E610
Silken Cave Beetle,Pseudanophthalmus sericus,IICOL4E620
a cave obligate ground beetle,Pseudanophthalmus shilohensis,IICOL4EAD0
Meredith Cave Beetle,Pseudanophthalmus sidus,IICOL4E630
Simple Cave Beetle,Pseudanophthalmus simplex,IICOL4E640
Cub Run Cave Beetle,Pseudanophthalmus simulans,IICOL4E920
a cave obligate ground beetle,Pseudanophthalmus solivagus,IICOL4EBL0
a cave obligate ground beetle,Pseudanophthalmus steevesi,IICOL4EBM0
a cave obligate ground beetle,Pseudanophthalmus templetoni,IICOL4EBP0
Stevens Creek Cave Beetle,Pseudanophthalmus tenebrosus,IICOL4EA40
Thomas' Cave Beetle,Pseudanophthalmus thomasi,IICOL4E650
Indian Cave Point Cave Beetle,Pseudanophthalmus tiresias,IICOL4E660
a cave obligate ground beetle,Pseudanophthalmus transfluvialis,IICOL4EBQ0
Louisville Cave Beetle,Pseudanophthalmus troglodytes,IICOL4EA50
Duck River Cave Beetle,Pseudanophthalmus tullahoma,IICOL4E670
Union County Cave Beetle,Pseudanophthalmus unionis,IICOL4E680
a cave obligate ground beetle,Pseudanophthalmus vanburenensis,IICOL4EC10
Blowing Cave Beetle,Pseudanophthalmus ventus,IICOL4E690
Maiden Spring Cave Beetle,Pseudanophthalmus virginicus,IICOL4E710
Wallace's Cave Beetle,Pseudanophthalmus wallacei,IICOL4E700
a cave obligate beetle,Rhadine austinica,IICOL69070
a cave obligate beetle,Rhadine insolita,IICOL69080
a ground beetle,Rhadine koepkei,IICOL69090
a cave obligate beetle,Rhadine noctivaga,IICOL69100
Tooth Cave Ground Beetle,Rhadine persephone,IICOL69020
a cave obligate beetle,Rhadine russelli,IICOL69110
a ground beetle,Rhadine tenebrosa,IICOL69140
Mann's Mollusk-eating Ground Beetle,Scaphinotus mannii,IICOL4L110
Northern Xenotrechus Cave Beetle,Xenotrechus condei,IICOLJA010
Southern Xenotrechus Cave Beetle,Xenotrechus denticollis,IICOLJA020
Comal Springs Diving Beetle,Comaldessus stygius,IICOLQ0050
Edwards Aquifer Diving Beetle,Haideoporus texanus,IICOL54010
Simple Hydroporus Diving Beetle,Hydroporus simplex,IICOL55050
Curved-foot Hygrotus Diving Beetle,Hygrotus curvipes,IICOL38030
Narrow-foot Hygrotus Diving Beetle,Hygrotus diversipes,IICOL38040
Travertine Band-thigh Diving Beetle,Hygrotus fontinalis,IICOL38050
Bert's Predaceous Diving Beetle,Sanfilippodytes bertae,IICOL55680
Coral Pink Sand Dune Tiger Beetle,Cicindela albissima,IICOL02161
St. Anthony Dune Tiger Beetle,Cicindela arenicola,IICOL02130
Columbia River Tiger Beetle,Cicindela columbica,IICOL02090
Ohlone Tiger Beetle,Cicindela ohlone,IICOL026L0
Colorado Dune Tiger Beetle,Cicindela theatina,IICOL02050
