Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
Latticed Elimia,Elimia mihalcikae,IMGASK2920,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.785489/Elimia_mihalcikae
Round-rib Elimia,Elimia nassula,IMGASK2480,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117125/Elimia_nassula
Caper Elimia,Elimia olivula,IMGASK2490,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116845/Elimia_olivula
Ornata Elimia,Elimia ornata,IMGASK2900,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119848/Elimia_ornata
Engraved Elimia,Elimia perstriata,IMGASK2510,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120349/Elimia_perstriata
Compact Elimia,Elimia showalteri,IMGASK2610,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110835/Elimia_showalteri
Elegant Elimia,Elimia teres,IMGASK2670,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112866/Elimia_teres
Auger Elimia,Elimia teretria,IMGASK2930,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.785492/Elimia_teretria
Timid Elimia,Elimia timida,IMGASK2980,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.785528/Elimia_timida
Mossy Elimia,Elimia troostiana,IMGASK2680,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116316/Elimia_troostiana
Cobble Elimia,Elimia vanuxemiana,IMGASK2700,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115100/Elimia_vanuxemiana
Puzzle Elimia,Elimia varians,IMGASK2710,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2Q,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119495/Elimia_varians
Steptoe Hydrobe,Eremopyrgus eganensis,IMGASG7010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106720/Eremopyrgus_eganensis
Newcomb's Snail,Erinna newcombi,IMGASV6010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Threatened,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118386/Erinna_newcombi
Alexander Siltsnail,Floridobia alexander,IMGASF9160,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637184/Floridobia_alexander
Crystal Siltsnail,Floridobia helicogyra,IMGASF9040,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116334/Floridobia_helicogyra
Flatwood Siltsnail,Floridobia leptospira,IMGASF9170,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637185/Floridobia_leptospira
Ichetucknee Siltsnail,Floridobia mica,IMGASF9060,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118468/Floridobia_mica
Rock Springs Siltsnail,Floridobia petrifons,IMGASF9100,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114410/Floridobia_petrifons
Ponderous Siltsnail,Floridobia ponderosa,IMGASF9110,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116714/Floridobia_ponderosa
Green Cove Springsnail,Floridobia porterae,IMGASF9180,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637186/Floridobia_porterae
Seminole Siltsnail,Floridobia vanhyningi,IMGASF9120,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116281/Floridobia_vanhyningi
Wekiwa Siltsnail,Floridobia wekiwae,IMGASF9130,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119996/Floridobia_wekiwae
Goose Valley Pebblesnail,Fluminicola anserinus,IMGASG3550,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.866915/Fluminicola_anserinus
Pyramid Lake Pebblesnail,Fluminicola dalli,IMGASG3020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120324/Fluminicola_dalli
Fremont Pebblesnail,Fluminicola fremonti,IMGASG3520,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: OR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.865309/Fluminicola_fremonti
Donner and Blitzen Pebblesnail,Fluminicola insolitus,IMGASG3350,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: OR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119771/Fluminicola_insolitus
Tall Pebblesnail,Fluminicola klamathensis,IMGASG3260,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: OR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117506/Fluminicola_klamathensis
Lunsford Pebblesnail,Fluminicola lunsfordensis,IMGASG3530,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.865313/Fluminicola_lunsfordensis
Modoc Pebblesnail,Fluminicola modoci,IMGASG3080,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: CA (SNR), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119703/Fluminicola_modoci
Potem Creek Pebblesnail,Fluminicola potemicus,IMGASG3560,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.866918/Fluminicola_potemicus
Umbilicate Pebblesnail,Fluminicola umbilicatus,IMGASG3570,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.866921/Fluminicola_umbilicatus
Virginia Mountains Pebblesnail,Fluminicola virginius,IMGASG3360,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110709/Fluminicola_virginius
Hidden Springsnail,Fontigens cryptica,IMGASG5020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: IN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112428/Fontigens_cryptica
Proserpine Cavesnail,Fontigens proserpina,IMGASG5120,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: MO (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116466/Fontigens_proserpina
Greenbrier Cavesnail,Fontigens turritella,IMGASG5070,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: WV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109569/Fontigens_turritella
a freshwater snail,Galba perplexa,IMGASL1150,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2Q,G1,,,,"United States: CA (SNR), WA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112807/Galba_perplexa
Greenfield Ramshorn,Helisoma eucosmium,IMGASM6030,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,United States: NC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115271/Helisoma_eucosmium
a freshwater snail,Helisoma minus,IMGASM6040,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120047/Helisoma_minus
Great Basin Ramshorn,Helisoma newberryi,IMGASM6020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: CA (S1), ID (SX), NV (SX), OR (S1), UT (SX), WY (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106615/Helisoma_newberryi
Storm Hydrobe,Hoyia sheldoni,IMGASH0010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: WI (SU),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113015/Hoyia_sheldoni
Banbury Springs Limpet,Idaholanx fresti,IMGASL7050,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: ID (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112885/Idaholanx_fresti
Spiny Riversnail,Io fluvialis,IMGASK3010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,"United States: AL (SX), TN (S2), VA (S2)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110014/Io_fluvialis
Robust Tryonia,Ipnobius robustus,IMGASJ7200,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121329/Ipnobius_robustus
Bulb Juga,Juga bulbosa,IMGASK4020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: OR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.815829/Juga_bulbosa
Chace Juga,Juga chacei,IMGASK4180,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: CA (S1), OR (SNR)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.758731/Juga_chacei
Barren Juga,Juga hemphilli,IMGASK4030,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"Canada, United States: OR (S1), WA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119167/Juga_hemphilli
Smooth Juga,Juga interioris,IMGASK4040,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: NV (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111938/Juga_interioris
Oasis Juga,Juga laurae,IMGASK4050,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: CA (SNR), NV (SNR)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109539/Juga_laurae
a freshwater snail,Juga newberryi,IMGASK4210,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: OR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.807452/Juga_newberryi
